date,year,open,high,low,ets_price,volume,sp500_close,carbon_index,coal_price,stoxx50,close_ma5,volume_ma5,close_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,high_close_ratio,low_close_ratio
2017-01-02,2017,6.39,6.39,6.05,6.12,81,2750.706582,0,69.37483492,3295,6.338,40,-0.034395708,6.016,251.6,0.017287234,5.342,7910.45,0.145638338,5.530666667,10004.93333,0.106557377,-0.991903994,5.067416667,6321.041667,0.207715963,-0.987185656,0.044117647,-0.011437908
2017-01-03,2017,6.08,6.11,5.43,5.43,161,2257.83,-0.041666667,82.5,3306,6.158,67.8,-0.118220201,6.048,261,-0.10218254,5.395,6873.8,0.006487488,5.526833333,9847.883333,-0.017520581,-0.983651309,5.07225,6322.3,0.07053083,-0.974534584,0.125230203,0
2017-01-04,2017,5.61,5.69,5.24,5.72,216,2270.75,-0.014285714,84.2,3304,6.036,103.8,-0.052352551,6.096,273.8,-0.06167979,5.456,6129.95,0.048387097,5.531666667,9681.7,0.0340464,-0.977689869,5.081,6324.016667,0.125762645,-0.965844492,-0.005244755,-0.083916084
2017-01-05,2017,5.54,5.66,5.32,5.29,373,2269,-0.0375,85.75,3304,5.822,171.6,-0.091377533,6.044,102.8,-0.12475182,5.5055,5411.8,-0.039142676,5.527833333,9527.1,-0.043024693,-0.960848527,5.086,6325.008333,0.040110106,-0.941027746,0.069943289,0.005671078
2017-01-06,2017,5.3,5.36,4.98,5.05,123,2276.98,-0.05,84.75,3313,5.522,190.8,-0.085476277,5.941,112,-0.149974752,5.5275,4647.2,-0.086386251,5.517833333,9375.383333,-0.084785695,-0.986880536,5.089333333,6326.025,-0.007728583,-0.980556511,0.061386139,-0.013861386
2017-01-09,2017,5.07,5.38,4.94,5.27,105,2268.9,-0.023668639,84.05,3301,5.352,195.6,-0.015321375,5.845,117.8,-0.098374679,5.568,4003.95,-0.053520115,5.508833333,9237.85,-0.043354612,-0.988633719,5.09525,6326.9,0.034296649,-0.983404195,0.020872865,-0.062618596
2017-01-10,2017,5.31,5.6,5.28,5.51,175,2268.9,0.107142857,86.4,3300,5.368,198.4,0.026453055,5.763,133.1,-0.043900746,5.6,3117.8,-0.016071429,5.502833333,9099.316667,0.001302359,-0.980767787,5.102916667,6328.358333,0.079774639,-0.972346699,0.016333938,-0.041742287
2017-01-11,2017,5.55,5.55,5.44,5.52,162,2275.32,-0.047619048,88.7,3298,5.328,187.6,0.036036036,5.682,145.7,-0.028511088,5.6365,2370,-0.020668855,5.495666667,8889.883333,0.004427731,-0.981777039,5.111333333,6329.208333,0.079953046,-0.974404382,0.005434783,-0.014492754
2017-01-12,2017,5.35,5.4,5.17,5.04,151,2270.44,0,88.6,3281,5.278,143.2,-0.045092838,5.55,157.4,-0.091891892,5.638,1467.05,-0.106065981,5.485166667,8642.933333,-0.081158275,-0.98252908,5.115583333,6330.466667,-0.014775115,-0.976147098,0.071428571,0.025793651
2017-01-13,2017,5.07,5.15,5.03,5.04,541,2274.64,0,88.2,3314,5.276,226.8,-0.044730857,5.399,208.8,-0.066493795,5.648,752.55,-0.107648725,5.476166667,8488.483333,-0.079648172,-0.936266589,5.12025,6334.975,-0.015673063,-0.914601084,0.021825397,-0.001984127
2017-01-16,2017,4.96,4.96,4.68,4.7,278,2750.706582,-0.009708738,88.05,3289,5.162,261.4,-0.089500194,5.257,228.5,-0.105953966,5.6365,240.05,-0.166149206,5.456333333,8339.45,-0.138615676,-0.966664468,5.122583333,6337.25,-0.082494184,-0.956132392,0.055319149,-0.004255319
2017-01-17,2017,4.79,5.06,4.79,5,52,2267.89,-0.010989011,89.8,3281,5.06,236.8,-0.011857708,5.214,217.6,-0.041043345,5.631,239.3,-0.112058249,5.442833333,8225.483333,-0.081360811,-0.993678183,5.127833333,6337.683333,-0.024929307,-0.991795109,0.012,-0.042
2017-01-18,2017,4.95,4.99,4.83,4.84,208,2271.89,-0.018518519,89.95,3286,4.924,246,-0.017059301,5.126,216.8,-0.055793991,5.611,245.3,-0.137408662,5.426666667,8059.533333,-0.108108108,-0.974192054,5.131416667,6339.416667,-0.056790685,-0.96718941,0.030991736,-0.002066116
2017-01-19,2017,4.95,5.14,4.86,5.2,100,2263.69,0.038461538,88.55,3279,4.956,235.8,0.049233253,5.117,189.5,0.016220442,5.5805,146.15,-0.068183854,5.414333333,7900.716667,-0.039586283,-0.98734292,5.136166667,6340.25,0.012428205,-0.984227751,-0.011538462,-0.065384615
